Carimbo de data/hora,1. Há quanto tempo sua empresa é cliente da Inmetrics?,2. Os principais fatores de contratação da Inmetrics foram: [Custo/benefício],2. Os principais fatores de contratação da Inmetrics foram: [Qualidade de entrega],2. Os principais fatores de contratação da Inmetrics foram: [Reputação],2. Os principais fatores de contratação da Inmetrics foram: [Indicação],2. Os principais fatores de contratação da Inmetrics foram: [Experiências anteriores],2. Os principais fatores de contratação da Inmetrics foram: [Inovação],2. Os principais fatores de contratação da Inmetrics foram: [Qualidade técnica dos colaboradores],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Acompanhamento das entregas],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Equipes alocadas],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Cumprimento de prazos],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Qualidade de indicadores de acompanhamento],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Qualidade de entrega],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Ponto focal Inmetrics],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Rapidez de atendimento],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Rapidez de entrega],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Inovação],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Qualidade técnica dos colaboradores],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Custo/benefício],3. Estou satisfeito com a Inmetrics no que diz respeito a: [Gestão do projeto],4. Quais as três palavras que melhor descrevem o time Inmetrics que atende sua empresa?,,,5. Que mudanças trariam maior impacto positivo no seu atual nível de satisfação? (até 300 caracteres)
07/06/2019 10:14:09,,Discordo totalmente,Discordo parcialmente,Não concordo nem discordo,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Não concordo nem discordo,Concordo parcialmente,Não concordo nem discordo,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,teste,teste,teste,teste
13/06/2019 11:46:20,10 anos,Discordo totalmente,Discordo parcialmente,Não concordo nem discordo,Não concordo nem discordo,Concordo parcialmente,Não concordo nem discordo,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Não concordo nem discordo,Discordo parcialmente,Concordo parcialmente,Não concordo nem discordo,Não concordo nem discordo,Discordo parcialmente,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Concordo parcialmente,TESTE,Grande,Pequeno,FIM
13/06/2019 15:37:52,TESTE,Discordo totalmente,Discordo totalmente,Discordo totalmente,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,TESTE,TEste,TESTE,TESTE
13/06/2019 15:47:34,10 anos,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,teste,teste,teste,teste
13/06/2019 16:21:49,aWFXEFEFXEFEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,EWFWEF,DFWDF,WEWWCXDXX
13/06/2019 19:51:18,1 a 3 anos,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Não concordo nem discordo,Não concordo nem discordo,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Eficientes,Comprometidos,Competentes,Baixar um pouquinho o preço
13/06/2019 21:10:22,4 a 6 anos,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,teste,teste,teste,teste
13/06/2019 22:18:10,Menos de 1 ano,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,COMPROMETIMENTO,AGILIDADE,QUALIDADE,AUTOMATIZAÇÃO DOS PROCESSOS.
14/06/2019 08:46:55,1 a 3 anos,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,teste,teste,teste,teste
14/06/2019 17:16:15,1 a 3 anos,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Não concordo nem discordo,Não concordo nem discordo,Concordo parcialmente,Não concordo nem discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,unidos,sinergia,bom humor,Treinamentos / reciclagem tanto da área de conceitos básicos e teóricos de qualidade como também da parte de automação. Reposições mais rápidas e mais pro atividade na gestão.
16/06/2019 12:57:08,Mais de 6 anos,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Não concordo nem discordo,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Experiência,Conhecimento,Proatividade,"Inovar nos relatórios e/ou materiais que são apresentados, por exemplo, um portal no lugar de ppt's, ..."
21/06/2019 12:37:38,Mais de 6 anos,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Comprometimento,Responsabilidade,Parceria,Ser mais rápido a novos negócios.
28/06/2019 08:03:18,Mais de 6 anos,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Não concordo nem discordo,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Não concordo nem discordo,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Não concordo nem discordo,Concordo parcialmente,Não concordo nem discordo,Concordo parcialmente,Prontidão,Compromisso,Qualidade,Melhores preços e prazos;